ID [IRI]	LABEL
http://purl.obolibrary.org/obo/CL_0000348	choroidal cell of the eye
http://purl.obolibrary.org/obo/CL_0000349	extraembryonic cell
http://purl.obolibrary.org/obo/CL_0000351	trophoblast cell
http://purl.obolibrary.org/obo/CL_0000352	epiblast cell
http://purl.obolibrary.org/obo/CL_0000353	blastoderm cell
http://purl.obolibrary.org/obo/CL_0000354	blastemal cell
http://purl.obolibrary.org/obo/CL_0000355	multi-potent skeletal muscle stem cell
http://purl.obolibrary.org/obo/CL_0000356	hair matrix stem cell
http://purl.obolibrary.org/obo/CL_0000357	stratified epithelial stem cell
http://purl.obolibrary.org/obo/CL_0000358	sphincter associated smooth muscle cell
http://purl.obolibrary.org/obo/CL_0000359	vascular associated smooth muscle cell
http://purl.obolibrary.org/obo/CL_0000360	morula cell
http://purl.obolibrary.org/obo/CL_0000361	gastrula cell
http://purl.obolibrary.org/obo/CL_0000362	epidermal cell
http://purl.obolibrary.org/obo/CL_0000365	animal zygote
http://purl.obolibrary.org/obo/CL_0000367	sheath cell (sensu Nematoda)
http://purl.obolibrary.org/obo/CL_0000376	humidity receptor cell
http://purl.obolibrary.org/obo/CL_0000377	tracheoblast
http://purl.obolibrary.org/obo/CL_0000378	supporting cell (sensu Nematoda and Protostomia)
http://purl.obolibrary.org/obo/CL_0000379	sensory processing neuron
http://purl.obolibrary.org/obo/CL_0000380	thecogen cell
http://purl.obolibrary.org/obo/CL_0000383	nephrogenic mesenchyme stem cell
http://purl.obolibrary.org/obo/CL_0000384	ligament cell
http://purl.obolibrary.org/obo/CL_0000388	tendon cell
http://purl.obolibrary.org/obo/CL_0000389	socket cell (sensu Nematoda)
http://purl.obolibrary.org/obo/CL_0000393	electrically responsive cell
http://purl.obolibrary.org/obo/CL_0000397	ganglion interneuron
http://purl.obolibrary.org/obo/CL_0000404	electrically signaling cell
http://purl.obolibrary.org/obo/CL_0000406	CNS short range interneuron
http://purl.obolibrary.org/obo/CL_0000408	male gamete
http://purl.obolibrary.org/obo/CL_0000410	CNS long range interneuron
http://purl.obolibrary.org/obo/CL_0000412	polyploid cell
http://purl.obolibrary.org/obo/CL_0000413	haploid cell
http://purl.obolibrary.org/obo/CL_0000415	diploid cell
http://purl.obolibrary.org/obo/CL_0000416	polytene cell
http://purl.obolibrary.org/obo/CL_0000417	endopolyploid cell
http://purl.obolibrary.org/obo/CL_0000419	seam cell
http://purl.obolibrary.org/obo/CL_0000420	syncytial epithelial cell
http://purl.obolibrary.org/obo/CL_0000422	mitogenic signaling cell
http://purl.obolibrary.org/obo/CL_0000423	tip cell
http://purl.obolibrary.org/obo/CL_0000424	excretory cell
http://purl.obolibrary.org/obo/CL_0000425	pore cell
http://purl.obolibrary.org/obo/CL_0000427	GLR cell
http://purl.obolibrary.org/obo/CL_0000428	yolk cell
http://purl.obolibrary.org/obo/CL_0000430	xanthophore cell
http://purl.obolibrary.org/obo/CL_0000431	iridophore
http://purl.obolibrary.org/obo/CL_0000432	reticular cell
http://purl.obolibrary.org/obo/CL_0000434	eccrine cell
http://purl.obolibrary.org/obo/CL_0000435	alkali secreting cell
http://purl.obolibrary.org/obo/CL_0000436	vaginal lubricant secreting cell
http://purl.obolibrary.org/obo/CL_0000437	gonadtroph
http://purl.obolibrary.org/obo/CL_0000438	luteinizing hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000439	prolactin secreting cell
http://purl.obolibrary.org/obo/CL_0000440	melanocyte stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000442	follicular dendritic cell
http://purl.obolibrary.org/obo/CL_0000443	calcitonin secreting cell
http://purl.obolibrary.org/obo/CL_0000444	obliquely striated muscle cell
http://purl.obolibrary.org/obo/CL_0000445	apoptosis fated cell
http://purl.obolibrary.org/obo/CL_0000446	chief cell of parathyroid gland
http://purl.obolibrary.org/obo/CL_0000447	carbohydrate secreting cell
http://purl.obolibrary.org/obo/CL_0000448	white adipocyte
http://purl.obolibrary.org/obo/CL_0000449	brown adipocyte
http://purl.obolibrary.org/obo/CL_0000451	dendritic cell
http://purl.obolibrary.org/obo/CL_0000453	Langerhans cell
http://purl.obolibrary.org/obo/CL_0000454	epinephrine secreting cell
