p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.55492930633052e-126,8.54641433571073,0.506,0.059,7.7746465316526e-123,Myofibroblasts,SYNPO2
3.37857565075944e-143,8.52497239937498,0.5,0.026,1.68928782537972e-139,Differentiated Keratinocytes,SPRR1B
0,8.50162071962481,0.929,0.045,0,T-cells,CD52
1.31137937113174e-222,8.46570775086502,0.765,0.086,6.5568968556587e-219,Macrophages,IL1RN
2.56619800006075e-124,8.45436218639924,0.614,0.05,1.28309900003038e-120,T-cells,PTPN22
6.76614335653555e-133,8.45269744993719,0.655,0.066,3.38307167826777e-129,Macrophages,PILRA
5.22046803685966e-44,8.4416159601344,0.789,0.107,2.61023401842983e-40,Melanocytes,PHACTR1
0,8.44002960841359,0.971,0.084,0,Vascular endothelial cells,GIMAP7
2.29162121554819e-179,8.43721858022223,0.502,0.151,1.14581060777409e-175,Myofibroblasts,PDLIM7
0,8.42276003316318,0.88,0.042,0,Macrophages,CXCL8
0,8.42152646919548,0.968,0.041,0,Differentiated Keratinocytes,KRTDAP
0,8.40629786468997,0.839,0.047,0,T-cells,CD53
6.65346643374522e-199,8.38264713716165,0.752,0.047,3.32673321687261e-195,Macrophages,CSF2RA
0,8.3588328372438,0.909,0.089,0,T-cells,TRAC
0,8.34931897466704,0.949,0.009,0,Vascular endothelial cells,PCAT19
0,8.32159964900535,0.791,0.021,0,T-cells,SH2D2A
6.22350408904885e-193,8.30981007291856,0.679,0.011,3.11175204452443e-189,T-cells,CXCR6
0,8.29208031043215,0.639,0.01,0,Fibroblasts,VCAN
1.41477056543e-62,8.27380759858105,0.737,0.101,7.07385282714999e-59,Neural cells,SOX2
3.08623782461083e-44,8.27014439001006,0.756,0.114,1.54311891230541e-40,Melanocytes,MMP17
7.5697951577609e-249,8.23671162869452,0.73,0.053,3.78489757888045e-245,Macrophages,TRAF1
3.42839720967704e-106,8.23130542964336,0.305,0.087,1.71419860483852e-102,Myofibroblasts,FLNC
6.4563500245489e-37,8.22246590867567,0.637,0.008,3.22817501227445e-33,Neural cells,MYOT
1.37513052289413e-118,8.20898768608654,0.458,0.19,6.87565261447063e-115,Myofibroblasts,SLFN11
0,8.20391869631571,0.562,0.016,0,Fibroblasts,C3
0,8.19985198155571,0.847,0.054,0,Fibroblasts,C1R
8.99862263248454e-21,8.19941741869932,0.616,0.053,4.49931131624227e-17,Neural cells,GFRA3
1.49617806864262e-85,8.17358038069396,0.858,0.199,7.48089034321312e-82,Neural cells,CADM3
5.21359896792575e-215,8.17161180694744,0.849,0.031,2.60679948396287e-211,Sweat gland cells,ROPN1B
0,8.15308171077909,0.958,0.246,0,Vascular endothelial cells,BST2
