"","Rambow_2018_Mitosis","Rambow_2018_Pigmentation","Rambow_2018_Invasion","Rambow_2018_Neuro","Rambow_2018_MITF_Targets","Rambow_2018_Hypometabolic","Kauffmann_2008_DNA_Repair","Kauffmann_2008_DNA_Replication","Tirosh_2016_AXL","Widmer_2012_Invasive","Widmer_2012_Proliferative","Jeffs_2009_Invasive","Jeffs_2009_Proliferation","Verfaillie_2015_TEAD_Targets","Verfaillie_2015_Invasive","Verfaillie_2015_Proliferative","McNeal_2021_PMA","McNeal_2021_EDN1","Tirosh_2016_MITF","Hoek_2008_MITF_Targets","Tsoi_2018_Undifferentiated","Tsoi_2018_Neural_Crest","Tsoi_2018_Transitory","Tsoi_2018_Melanocytic","Ryu_2011_BRAFV600E_Targets","Belote_2021_Vmel","Belote_2021_Cmel","Andrews_2022_MEL","Andrews_2022_MES","Andrews_2022_NPLAS_Up","Andrews_2022_NPLAS_Down","Belote_2021_ADT","Belote_2021_MSC","Riesenberg_2015_TNF_Response","Wouters_2020_Intermediate","Wouters_2020_Mesenchymal","Wouters_2020_Melanocytic","Hoek_2006_Proliferative","Hoek_2006_Invasive"
"330","","","","","","","","","","","","","","","RARRES1","PRKD3","","","","","","","","","","","","","","","","","","","SAMD9","FLNC","DAB2","",""
"331","","","","","","","","","","","","","","","RELN","RGS10","","","","","","","","","","","","","","","","","","","RP1-37N7.3","CHST15","C21orf67","",""
"332","","","","","","","","","","","","","","","TMEM200B","C21orf91","","","","","","","","","","","","","","","","","","","GS1-174L6.4","COL3A1","SMPD2","",""
"333","","","","","","","","","","","","","","","LAPTM5","HSD17B14","","","","","","","","","","","","","","","","","","","AHNAK","HLA-DRB1","SFXN4","",""
"334","","","","","","","","","","","","","","","MMP2","TBC1D16","","","","","","","","","","","","","","","","","","","YPEL4","PODXL","SOGA3","",""
"335","","","","","","","","","","","","","","","CAMK1D","DGCR6","","","","","","","","","","","","","","","","","","","ID4","PDGFC","HOGA1","",""
"336","","","","","","","","","","","","","","","PDGFC","FCRLA","","","","","","","","","","","","","","","","","","","IFIT1","THBS1","AIFM2","",""
"337","","","","","","","","","","","","","","","PODXL","WDR91","","","","","","","","","","","","","","","","","","","MT2A","KIAA1462","ARSG","",""
"338","","","","","","","","","","","","","","","GCNT1","GDPD5","","","","","","","","","","","","","","","","","","","NR2F2-AS1","RP11-128P17.2","TRPV2","",""
"339","","","","","","","","","","","","","","","FGF2","SLC22A23","","","","","","","","","","","","","","","","","","","HIST2H2BE","FAP","ZC3H13","",""
"340","","","","","","","","","","","","","","","CD96","RP11-3L8.3","","","","","","","","","","","","","","","","","","","PLAT","HIF1A-AS2","MTFP1","",""
"341","","","","","","","","","","","","","","","CYR61","PDZRN3","","","","","","","","","","","","","","","","","","","PLEKHA4","DCN","ETV4","",""
"342","","","","","","","","","","","","","","","HIC1","NR4A1","","","","","","","","","","","","","","","","","","","RP11-893F2.14","MIR210","RP4-555D20.4","",""
"343","","","","","","","","","","","","","","","MPP7","PROS1","","","","","","","","","","","","","","","","","","","ROPN1B","TGFB2","BBS5","",""
"344","","","","","","","","","","","","","","","A4GALT","SS18L1","","","","","","","","","","","","","","","","","","","PCDH12","NPY4R","CHST2","",""
"345","","","","","","","","","","","","","","","LINC00960","AP1S2","","","","","","","","","","","","","","","","","","","HIST1H2BD","PLXNA4","WDFY1","",""
"346","","","","","","","","","","","","","","","LAYN","TSPAN10","","","","","","","","","","","","","","","","","","","RASA4CP","SOX21","GRHL1","",""
"347","","","","","","","","","","","","","","","WISP1","BHLHE41","","","","","","","","","","","","","","","","","","","CTC-529P8.1","TMEM47","SORD","",""
"348","","","","","","","","","","","","","","","MX1","CCDC171","","","","","","","","","","","","","","","","","","","CTSO","AP001631.9","TPD52","",""
"349","","","","","","","","","","","","","","","NPTX1","IL17D","","","","","","","","","","","","","","","","","","","ARG2","RP11-536K7.3","PACSIN2","",""
"350","","","","","","","","","","","","","","","WNT5A-AS1","PDK4","","","","","","","","","","","","","","","","","","","CSRNP1","CTC-378H22.1","PLEKHO2","",""
"351","","","","","","","","","","","","","","","WNT5B","C2orf88","","","","","","","","","","","","","","","","","","","HIST1H2AC","OR10A3","RANBP10","",""
"352","","","","","","","","","","","","","","","AC005789.11","PRR5","","","","","","","","","","","","","","","","","","","INF2","C3","SOAT1","",""
"353","","","","","","","","","","","","","","","FAM65C","CDK2","","","","","","","","","","","","","","","","","","","ADORA2B","PSG9","DAAM2","",""
"354","","","","","","","","","","","","","","","IRF1","CTSH","","","","","","","","","","","","","","","","","","","HILS1","HS6ST3","SRCIN1","",""
"355","","","","","","","","","","","","","","","SAMD9L","MREG","","","","","","","","","","","","","","","","","","","PRNP","SCG5","PPP2R5A","",""
"356","","","","","","","","","","","","","","","KCNT2","FAM124A","","","","","","","","","","","","","","","","","","","NAV3","PTX3","SLC25A13","",""
"357","","","","","","","","","","","","","","","FOXE1","RP11-558F24.4","","","","","","","","","","","","","","","","","","","SHROOM2","HIC1","C16orf86","",""
"358","","","","","","","","","","","","","","","NHS","ASAH1","","","","","","","","","","","","","","","","","","","SPATA13","LPAR4","SAMM50","",""
"359","","","","","","","","","","","","","","","LY6K","HEY2","","","","","","","","","","","","","","","","","","","AC005943.5","CYP4X1","AC000068.5","",""
"360","","","","","","","","","","","","","","","FOXC2","SDC3","","","","","","","","","","","","","","","","","","","SPARC","AC093627.12","NDUFA6-AS1","",""
"361","","","","","","","","","","","","","","","CRIM1","RAP1GAP","","","","","","","","","","","","","","","","","","","SAMD4A","BDKRB1","WIPI1","",""
"362","","","","","","","","","","","","","","","DOCK3","CAPG","","","","","","","","","","","","","","","","","","","SVIL","DKK3","NEU3","",""
"363","","","","","","","","","","","","","","","TNFRSF10A","RAB6B","","","","","","","","","","","","","","","","","","","ERAP2","FER1L4","HMOX1","",""
"364","","","","","","","","","","","","","","","DOCK2","SORT1","","","","","","","","","","","","","","","","","","","TMX4","PCDHB10","GPR161","",""
"365","","","","","","","","","","","","","","","CYP27C1","MXI1","","","","","","","","","","","","","","","","","","","BDNF-AS","CREB3L1","UBL3","",""
"366","","","","","","","","","","","","","","","AMZ1","PCSK9","","","","","","","","","","","","","","","","","","","MAP2K3","TNFSF4","GAB2","",""
"367","","","","","","","","","","","","","","","SECTM1","ST3GAL4","","","","","","","","","","","","","","","","","","","SARNP","CTD-2319I12.1","ZC3HAV1L","",""
"368","","","","","","","","","","","","","","","SOX9","APOC1","","","","","","","","","","","","","","","","","","","RP11-420L9.5","SNCAIP","TRIM47","",""
"369","","","","","","","","","","","","","","","FIBCD1","ADAMTS17","","","","","","","","","","","","","","","","","","","AC093616.4","AC116366.6","MAST1","",""
"370","","","","","","","","","","","","","","","SH3RF2","EPHA5","","","","","","","","","","","","","","","","","","","MRPS6","COL12A1","RP11-273G15.2","",""
"371","","","","","","","","","","","","","","","DCN","HEY1","","","","","","","","","","","","","","","","","","","RND3","REN","KLRG1","",""
"372","","","","","","","","","","","","","","","SCARA3","SLC12A7","","","","","","","","","","","","","","","","","","","TOM1L2","TMEM184A","RBKS","",""
"373","","","","","","","","","","","","","","","BLK","SH3TC1","","","","","","","","","","","","","","","","","","","TRPV2","SLN","ANKRD44","",""
"374","","","","","","","","","","","","","","","TAGLN","PAG1","","","","","","","","","","","","","","","","","","","SNORD17","BASP1","CREM","",""
"375","","","","","","","","","","","","","","","PCOLCE","RAB38","","","","","","","","","","","","","","","","","","","LINC00152","GPR17","RP1-257A7.4","",""
"376","","","","","","","","","","","","","","","THSD4","RP11-1055B8.2","","","","","","","","","","","","","","","","","","","SIDT2","BMPER","ACAT2","",""
"377","","","","","","","","","","","","","","","KIAA1462","SCIN","","","","","","","","","","","","","","","","","","","PEA15","CDYL2","PPARA","",""
"378","","","","","","","","","","","","","","","DKK1","LINC00340","","","","","","","","","","","","","","","","","","","BTN3A2","RP11-305L7.6","SCARB1","",""
"379","","","","","","","","","","","","","","","FAM167A","GAB2","","","","","","","","","","","","","","","","","","","CDON","SOX9","ESYT3","",""
"380","","","","","","","","","","","","","","","PCDHGB4","CES3","","","","","","","","","","","","","","","","","","","HLA-E","FAM43B","RNF19B","",""
"381","","","","","","","","","","","","","","","SAMD12","DUSP15","","","","","","","","","","","","","","","","","","","SLC20A1","FGF1","FYN","",""
"382","","","","","","","","","","","","","","","B3GNT9","CYP27A1","","","","","","","","","","","","","","","","","","","AMOTL1","HLA-DRB6","GDPD5","",""
"383","","","","","","","","","","","","","","","IFI44","ATRNL1","","","","","","","","","","","","","","","","","","","PTGER4","RASL11A","GFOD1","",""
"384","","","","","","","","","","","","","","","DPYD","FAXC","","","","","","","","","","","","","","","","","","","LBX2-AS1","GALNT6","INPP5F","",""
"385","","","","","","","","","","","","","","","TLE4","HES6","","","","","","","","","","","","","","","","","","","S100A10","NDNF","LRRC16B","",""
"386","","","","","","","","","","","","","","","IL20RB","KLF15","","","","","","","","","","","","","","","","","","","IFIT3","RP5-1011O1.3","FAM134B","",""
"387","","","","","","","","","","","","","","","FAM20C","DGCR5","","","","","","","","","","","","","","","","","","","TAPBP","HLA-DRA","MMP15","",""
"388","","","","","","","","","","","","","","","PDGFB","AC005786.5","","","","","","","","","","","","","","","","","","","SMCR8","KRTAP2-3","PTAFR","",""
"389","","","","","","","","","","","","","","","SYT1","INPP5F","","","","","","","","","","","","","","","","","","","SLC25A20","BIRC3","SPSB1","",""
"390","","","","","","","","","","","","","","","C12orf75","SGK1","","","","","","","","","","","","","","","","","","","EHHADH","STYK1","GRB10","",""
"391","","","","","","","","","","","","","","","SCG5","NPAS1","","","","","","","","","","","","","","","","","","","IRF2","MKX","MIR146A","",""
"392","","","","","","","","","","","","","","","EPHA2","CYGB","","","","","","","","","","","","","","","","","","","BACE1","PDE1B","C1orf233","",""
"393","","","","","","","","","","","","","","","ADAM8","PIR","","","","","","","","","","","","","","","","","","","ENDOD1","GRM8","CHAC1","",""
"394","","","","","","","","","","","","","","","AMPD3","CERS1","","","","","","","","","","","","","","","","","","","KIFC3","PPARG","RP11-332H18.4","",""
"395","","","","","","","","","","","","","","","LTBP2","AATK","","","","","","","","","","","","","","","","","","","","","","",""
"396","","","","","","","","","","","","","","","MAGEC2","SESN3","","","","","","","","","","","","","","","","","","","","","","",""
"397","","","","","","","","","","","","","","","EPS8L2","CDK5R1","","","","","","","","","","","","","","","","","","","","","","",""
"398","","","","","","","","","","","","","","","RYR2","SCUBE2","","","","","","","","","","","","","","","","","","","","","","",""
"399","","","","","","","","","","","","","","","PCDHB3","SLC17A9","","","","","","","","","","","","","","","","","","","","","","",""
"400","","","","","","","","","","","","","","","NNMT","SLC16A10","","","","","","","","","","","","","","","","","","","","","","",""
"401","","","","","","","","","","","","","","","VASN","TMTC2","","","","","","","","","","","","","","","","","","","","","","",""
"402","","","","","","","","","","","","","","","SPEG","KIAA1598","","","","","","","","","","","","","","","","","","","","","","",""
"403","","","","","","","","","","","","","","","LPHN2","RASSF2","","","","","","","","","","","","","","","","","","","","","","",""
"404","","","","","","","","","","","","","","","PCDHGA11","MAST1","","","","","","","","","","","","","","","","","","","","","","",""
"405","","","","","","","","","","","","","","","PLAUR","RP11-80F22.9","","","","","","","","","","","","","","","","","","","","","","",""
"406","","","","","","","","","","","","","","","ITGB4","TBC1D7","","","","","","","","","","","","","","","","","","","","","","",""
"407","","","","","","","","","","","","","","","ITGA2","PRKCH","","","","","","","","","","","","","","","","","","","","","","",""
"408","","","","","","","","","","","","","","","CXCL3","PDE3B","","","","","","","","","","","","","","","","","","","","","","",""
"409","","","","","","","","","","","","","","","ADAMTS4","C19orf71","","","","","","","","","","","","","","","","","","","","","","",""
"410","","","","","","","","","","","","","","","PRDM1","SLAIN1","","","","","","","","","","","","","","","","","","","","","","",""
"411","","","","","","","","","","","","","","","STEAP2","GJA3","","","","","","","","","","","","","","","","","","","","","","",""
"412","","","","","","","","","","","","","","","BASP1","FAM53B","","","","","","","","","","","","","","","","","","","","","","",""
"413","","","","","","","","","","","","","","","SPRED3","RAB11FIP4","","","","","","","","","","","","","","","","","","","","","","",""
"414","","","","","","","","","","","","","","","S100A16","BAI1","","","","","","","","","","","","","","","","","","","","","","",""
"415","","","","","","","","","","","","","","","TDRD9","C11orf96","","","","","","","","","","","","","","","","","","","","","","",""
"416","","","","","","","","","","","","","","","MYLK","SLC27A3","","","","","","","","","","","","","","","","","","","","","","",""
"417","","","","","","","","","","","","","","","COL6A1","FGF13","","","","","","","","","","","","","","","","","","","","","","",""
"418","","","","","","","","","","","","","","","ANGPTL4","BRSK2","","","","","","","","","","","","","","","","","","","","","","",""
"419","","","","","","","","","","","","","","","PCDH10","EGLN3","","","","","","","","","","","","","","","","","","","","","","",""
"420","","","","","","","","","","","","","","","TFPI","GNAL","","","","","","","","","","","","","","","","","","","","","","",""
"421","","","","","","","","","","","","","","","PDZD2","CABLES1","","","","","","","","","","","","","","","","","","","","","","",""
"422","","","","","","","","","","","","","","","RP11-575F12.2","GPR137B","","","","","","","","","","","","","","","","","","","","","","",""
"423","","","","","","","","","","","","","","","SUSD1","CXADR","","","","","","","","","","","","","","","","","","","","","","",""
"424","","","","","","","","","","","","","","","HTR7","SHC2","","","","","","","","","","","","","","","","","","","","","","",""
"425","","","","","","","","","","","","","","","TPM2","ST6GALNAC1","","","","","","","","","","","","","","","","","","","","","","",""
"426","","","","","","","","","","","","","","","CPE","FBXL16","","","","","","","","","","","","","","","","","","","","","","",""
"427","","","","","","","","","","","","","","","FLNB","Z83851.1","","","","","","","","","","","","","","","","","","","","","","",""
"428","","","","","","","","","","","","","","","ZNF415","ASRGL1","","","","","","","","","","","","","","","","","","","","","","",""
"429","","","","","","","","","","","","","","","GPX1P1","TNFRSF19","","","","","","","","","","","","","","","","","","","","","","",""
"430","","","","","","","","","","","","","","","SYBU","CEACAM1","","","","","","","","","","","","","","","","","","","","","","",""
"431","","","","","","","","","","","","","","","C1R","SORL1","","","","","","","","","","","","","","","","","","","","","","",""
"432","","","","","","","","","","","","","","","ERRFI1","ANKRD6","","","","","","","","","","","","","","","","","","","","","","",""
"433","","","","","","","","","","","","","","","IGFBP3","ISG20","","","","","","","","","","","","","","","","","","","","","","",""
"434","","","","","","","","","","","","","","","DPF3","RIMS4","","","","","","","","","","","","","","","","","","","","","","",""
"435","","","","","","","","","","","","","","","ZNF185","MYOM2","","","","","","","","","","","","","","","","","","","","","","",""
"436","","","","","","","","","","","","","","","CXCL1","LAD1","","","","","","","","","","","","","","","","","","","","","","",""
"437","","","","","","","","","","","","","","","PIP5KL1","ADRBK2","","","","","","","","","","","","","","","","","","","","","","",""
"438","","","","","","","","","","","","","","","GPR176","LZTS1","","","","","","","","","","","","","","","","","","","","","","",""
"439","","","","","","","","","","","","","","","TRABD2A","RNF125","","","","","","","","","","","","","","","","","","","","","","",""
"440","","","","","","","","","","","","","","","NR2F1-AS1","TMEM255A","","","","","","","","","","","","","","","","","","","","","","",""
"441","","","","","","","","","","","","","","","IFI6","TRPM8","","","","","","","","","","","","","","","","","","","","","","",""
"442","","","","","","","","","","","","","","","VCAN","FAM20A","","","","","","","","","","","","","","","","","","","","","","",""
"443","","","","","","","","","","","","","","","SHC3","LONRF3","","","","","","","","","","","","","","","","","","","","","","",""
"444","","","","","","","","","","","","","","","SCN2A","PPM1H","","","","","","","","","","","","","","","","","","","","","","",""
"445","","","","","","","","","","","","","","","NUAK2","SPTBN2","","","","","","","","","","","","","","","","","","","","","","",""
"446","","","","","","","","","","","","","","","ITGA5","TEX41","","","","","","","","","","","","","","","","","","","","","","",""
"447","","","","","","","","","","","","","","","SPOCK1","ST6GAL1","","","","","","","","","","","","","","","","","","","","","","",""
"448","","","","","","","","","","","","","","","IKZF2","POU3F3","","","","","","","","","","","","","","","","","","","","","","",""
"449","","","","","","","","","","","","","","","DDAH1","ADAM23","","","","","","","","","","","","","","","","","","","","","","",""
"450","","","","","","","","","","","","","","","BCL3","ANO4","","","","","","","","","","","","","","","","","","","","","","",""
"451","","","","","","","","","","","","","","","TFPI2","MFSD12","","","","","","","","","","","","","","","","","","","","","","",""
"452","","","","","","","","","","","","","","","INHBE","RP11-390P2.4","","","","","","","","","","","","","","","","","","","","","","",""
"453","","","","","","","","","","","","","","","RRAS","ST6GALNAC2","","","","","","","","","","","","","","","","","","","","","","",""
"454","","","","","","","","","","","","","","","OSMR","RP11-137H2.6","","","","","","","","","","","","","","","","","","","","","","",""
"455","","","","","","","","","","","","","","","LAMB3","OLFM2","","","","","","","","","","","","","","","","","","","","","","",""
"456","","","","","","","","","","","","","","","EFEMP2","TMCC2","","","","","","","","","","","","","","","","","","","","","","",""
"457","","","","","","","","","","","","","","","NMI","GREB1","","","","","","","","","","","","","","","","","","","","","","",""
"458","","","","","","","","","","","","","","","IFIT1","TTC39A","","","","","","","","","","","","","","","","","","","","","","",""
"459","","","","","","","","","","","","","","","TBX3","FAM213A","","","","","","","","","","","","","","","","","","","","","","",""
"460","","","","","","","","","","","","","","","FERMT3","KCNS1","","","","","","","","","","","","","","","","","","","","","","",""
"461","","","","","","","","","","","","","","","ID1","TNFRSF14","","","","","","","","","","","","","","","","","","","","","","",""
"462","","","","","","","","","","","","","","","MT2A","STXBP6","","","","","","","","","","","","","","","","","","","","","","",""
"463","","","","","","","","","","","","","","","ST8SIA5","ITGA7","","","","","","","","","","","","","","","","","","","","","","",""
"464","","","","","","","","","","","","","","","ANTXR2","ALDH1A1","","","","","","","","","","","","","","","","","","","","","","",""
"465","","","","","","","","","","","","","","","PEX5L","ZNF704","","","","","","","","","","","","","","","","","","","","","","",""
"466","","","","","","","","","","","","","","","KIRREL3","BAMBI","","","","","","","","","","","","","","","","","","","","","","",""
"467","","","","","","","","","","","","","","","LMO7","PGBD5","","","","","","","","","","","","","","","","","","","","","","",""
"468","","","","","","","","","","","","","","","PPP1R13L","PRKCZ","","","","","","","","","","","","","","","","","","","","","","",""
"469","","","","","","","","","","","","","","","MIR22HG","IL6R","","","","","","","","","","","","","","","","","","","","","","",""
"470","","","","","","","","","","","","","","","CD274","PLCL1","","","","","","","","","","","","","","","","","","","","","","",""
"471","","","","","","","","","","","","","","","CAV1","EGR3","","","","","","","","","","","","","","","","","","","","","","",""
"472","","","","","","","","","","","","","","","NCEH1","ITPKB","","","","","","","","","","","","","","","","","","","","","","",""
"473","","","","","","","","","","","","","","","NDUFA4L2","NAT16","","","","","","","","","","","","","","","","","","","","","","",""
"474","","","","","","","","","","","","","","","CSF1","LRRC4","","","","","","","","","","","","","","","","","","","","","","",""
"475","","","","","","","","","","","","","","","CLEC2B","STOX2","","","","","","","","","","","","","","","","","","","","","","",""
"476","","","","","","","","","","","","","","","RP4-758J24.5","OGDHL","","","","","","","","","","","","","","","","","","","","","","",""
"477","","","","","","","","","","","","","","","LINC00085","PIK3AP1","","","","","","","","","","","","","","","","","","","","","","",""
"478","","","","","","","","","","","","","","","HEG1","PNLIPRP3","","","","","","","","","","","","","","","","","","","","","","",""
"479","","","","","","","","","","","","","","","FOSL1","CNTN3","","","","","","","","","","","","","","","","","","","","","","",""
"480","","","","","","","","","","","","","","","EPAS1","BAAT","","","","","","","","","","","","","","","","","","","","","","",""
"481","","","","","","","","","","","","","","","SAMD9","COL25A1","","","","","","","","","","","","","","","","","","","","","","",""
"482","","","","","","","","","","","","","","","AJUBA","CELF2","","","","","","","","","","","","","","","","","","","","","","",""
"483","","","","","","","","","","","","","","","BCAT1","RASIP1","","","","","","","","","","","","","","","","","","","","","","",""
"484","","","","","","","","","","","","","","","ARHGAP23","TMEM229B","","","","","","","","","","","","","","","","","","","","","","",""
"485","","","","","","","","","","","","","","","NFE2L3","PLEKHG1","","","","","","","","","","","","","","","","","","","","","","",""
"486","","","","","","","","","","","","","","","TPM1","PKNOX2","","","","","","","","","","","","","","","","","","","","","","",""
"487","","","","","","","","","","","","","","","RUNX2","KRTAP19-1","","","","","","","","","","","","","","","","","","","","","","",""
"488","","","","","","","","","","","","","","","SNED1","SLC7A4","","","","","","","","","","","","","","","","","","","","","","",""
"489","","","","","","","","","","","","","","","DGKA","SLC24A4","","","","","","","","","","","","","","","","","","","","","","",""
"490","","","","","","","","","","","","","","","PLOD2","ASB4","","","","","","","","","","","","","","","","","","","","","","",""
"491","","","","","","","","","","","","","","","CPED1","ST3GAL6-AS1","","","","","","","","","","","","","","","","","","","","","","",""
"492","","","","","","","","","","","","","","","CDC42EP2","EFR3B","","","","","","","","","","","","","","","","","","","","","","",""
"493","","","","","","","","","","","","","","","DDX58","NKAIN1","","","","","","","","","","","","","","","","","","","","","","",""
"494","","","","","","","","","","","","","","","SMURF2","CASKIN1","","","","","","","","","","","","","","","","","","","","","","",""
"495","","","","","","","","","","","","","","","HAS3","LDLRAD4","","","","","","","","","","","","","","","","","","","","","","",""
"496","","","","","","","","","","","","","","","ZC3H12A","WNK2","","","","","","","","","","","","","","","","","","","","","","",""
"497","","","","","","","","","","","","","","","QSOX1","TKTL1","","","","","","","","","","","","","","","","","","","","","","",""
"498","","","","","","","","","","","","","","","ERAP2","RAB17","","","","","","","","","","","","","","","","","","","","","","",""
"499","","","","","","","","","","","","","","","UCHL1","KNDC1","","","","","","","","","","","","","","","","","","","","","","",""
"500","","","","","","","","","","","","","","","C4orf32","TESK2","","","","","","","","","","","","","","","","","","","","","","",""
"501","","","","","","","","","","","","","","","GAS6","CHN2","","","","","","","","","","","","","","","","","","","","","","",""
"502","","","","","","","","","","","","","","","TRIM59","SLC7A8","","","","","","","","","","","","","","","","","","","","","","",""
"503","","","","","","","","","","","","","","","RP11-14N7.2","FGD4","","","","","","","","","","","","","","","","","","","","","","",""
"504","","","","","","","","","","","","","","","ELL2","CRTAC1","","","","","","","","","","","","","","","","","","","","","","",""
"505","","","","","","","","","","","","","","","VEGFA","PPARGC1A","","","","","","","","","","","","","","","","","","","","","","",""
"506","","","","","","","","","","","","","","","RND3","RP11-527H14.2","","","","","","","","","","","","","","","","","","","","","","",""
"507","","","","","","","","","","","","","","","UAP1","FAM134B","","","","","","","","","","","","","","","","","","","","","","",""
"508","","","","","","","","","","","","","","","SPDL1","RASEF","","","","","","","","","","","","","","","","","","","","","","",""
"509","","","","","","","","","","","","","","","RASA1","ACAN","","","","","","","","","","","","","","","","","","","","","","",""
"510","","","","","","","","","","","","","","","SEMA4B","CHST6","","","","","","","","","","","","","","","","","","","","","","",""
"511","","","","","","","","","","","","","","","ECE1","TFCP2L1","","","","","","","","","","","","","","","","","","","","","","",""
"512","","","","","","","","","","","","","","","FAM129B","HMCN1","","","","","","","","","","","","","","","","","","","","","","",""
"513","","","","","","","","","","","","","","","LAMC1","RP3-395M20.8","","","","","","","","","","","","","","","","","","","","","","",""
"514","","","","","","","","","","","","","","","NXT2","PNMAL1","","","","","","","","","","","","","","","","","","","","","","",""
"515","","","","","","","","","","","","","","","ARL4C","RP3-527G5.1","","","","","","","","","","","","","","","","","","","","","","",""
"516","","","","","","","","","","","","","","","TGFBR2","PIP5K1B","","","","","","","","","","","","","","","","","","","","","","",""
"517","","","","","","","","","","","","","","","NFKBIA","IL12RB2","","","","","","","","","","","","","","","","","","","","","","",""
"518","","","","","","","","","","","","","","","SEC24D","TENM1","","","","","","","","","","","","","","","","","","","","","","",""
"519","","","","","","","","","","","","","","","SP100","RPS6KA2","","","","","","","","","","","","","","","","","","","","","","",""
"520","","","","","","","","","","","","","","","HMGA1","CECR2","","","","","","","","","","","","","","","","","","","","","","",""
"521","","","","","","","","","","","","","","","GRAMD1B","VGF","","","","","","","","","","","","","","","","","","","","","","",""
"522","","","","","","","","","","","","","","","TRAM2","BCAN","","","","","","","","","","","","","","","","","","","","","","",""
"523","","","","","","","","","","","","","","","CNN2","ADCY1","","","","","","","","","","","","","","","","","","","","","","",""
"524","","","","","","","","","","","","","","","STX1A","RAB3C","","","","","","","","","","","","","","","","","","","","","","",""
"525","","","","","","","","","","","","","","","HBEGF","CLDN14","","","","","","","","","","","","","","","","","","","","","","",""
"526","","","","","","","","","","","","","","","PVR","RP11-481A20.11","","","","","","","","","","","","","","","","","","","","","","",""
"527","","","","","","","","","","","","","","","BCAR3","MERTK","","","","","","","","","","","","","","","","","","","","","","",""
"528","","","","","","","","","","","","","","","IRS1","LINC00937","","","","","","","","","","","","","","","","","","","","","","",""
"529","","","","","","","","","","","","","","","FSTL3","LINC00504","","","","","","","","","","","","","","","","","","","","","","",""
"530","","","","","","","","","","","","","","","SIPA1L3","CCL18","","","","","","","","","","","","","","","","","","","","","","",""
"531","","","","","","","","","","","","","","","ENG","RXRG","","","","","","","","","","","","","","","","","","","","","","",""
"532","","","","","","","","","","","","","","","RELB","PHACTR1","","","","","","","","","","","","","","","","","","","","","","",""
"533","","","","","","","","","","","","","","","MAP4K4","CARD14","","","","","","","","","","","","","","","","","","","","","","",""
"534","","","","","","","","","","","","","","","DOCK5","QPCT","","","","","","","","","","","","","","","","","","","","","","",""
"535","","","","","","","","","","","","","","","GALNT10","GRASP","","","","","","","","","","","","","","","","","","","","","","",""
"536","","","","","","","","","","","","","","","IL6ST","DLL3","","","","","","","","","","","","","","","","","","","","","","",""
"537","","","","","","","","","","","","","","","TPM4","PKLR","","","","","","","","","","","","","","","","","","","","","","",""
"538","","","","","","","","","","","","","","","ATP2B1","LRGUK","","","","","","","","","","","","","","","","","","","","","","",""
"539","","","","","","","","","","","","","","","HERC6","C1orf51","","","","","","","","","","","","","","","","","","","","","","",""
"540","","","","","","","","","","","","","","","RIN1","TEX15","","","","","","","","","","","","","","","","","","","","","","",""
"541","","","","","","","","","","","","","","","ELFN1","B4GALNT3","","","","","","","","","","","","","","","","","","","","","","",""
"542","","","","","","","","","","","","","","","FJX1","KIAA1211","","","","","","","","","","","","","","","","","","","","","","",""
"543","","","","","","","","","","","","","","","FUT8","PELI2","","","","","","","","","","","","","","","","","","","","","","",""
"544","","","","","","","","","","","","","","","TNIP1","POU3F2","","","","","","","","","","","","","","","","","","","","","","",""
"545","","","","","","","","","","","","","","","SPATS2L","PRKCB","","","","","","","","","","","","","","","","","","","","","","",""
"546","","","","","","","","","","","","","","","JUN","HCG20","","","","","","","","","","","","","","","","","","","","","","",""
"547","","","","","","","","","","","","","","","SMAD3","RP11-98L5.2","","","","","","","","","","","","","","","","","","","","","","",""
"548","","","","","","","","","","","","","","","RBCK1","DISC1FP1","","","","","","","","","","","","","","","","","","","","","","",""
"549","","","","","","","","","","","","","","","DCBLD1","RP11-317M11.1","","","","","","","","","","","","","","","","","","","","","","",""
"550","","","","","","","","","","","","","","","CD151","KBTBD11","","","","","","","","","","","","","","","","","","","","","","",""
"551","","","","","","","","","","","","","","","TCP11L2","LAMC3","","","","","","","","","","","","","","","","","","","","","","",""
"552","","","","","","","","","","","","","","","TLDC1","RP11-557H15.4","","","","","","","","","","","","","","","","","","","","","","",""
"553","","","","","","","","","","","","","","","NET1","MPZ","","","","","","","","","","","","","","","","","","","","","","",""
"554","","","","","","","","","","","","","","","SKIL","AC011294.3","","","","","","","","","","","","","","","","","","","","","","",""
"555","","","","","","","","","","","","","","","RTN4","RENBP","","","","","","","","","","","","","","","","","","","","","","",""
"556","","","","","","","","","","","","","","","ASPH","PRUNE2","","","","","","","","","","","","","","","","","","","","","","",""
"557","","","","","","","","","","","","","","","UBE2E3","LAMA1","","","","","","","","","","","","","","","","","","","","","","",""
"558","","","","","","","","","","","","","","","KLF7","B3GAT1","","","","","","","","","","","","","","","","","","","","","","",""
"559","","","","","","","","","","","","","","","TIFA","TINCR","","","","","","","","","","","","","","","","","","","","","","",""
"560","","","","","","","","","","","","","","","E2F7","NDN","","","","","","","","","","","","","","","","","","","","","","",""
"561","","","","","","","","","","","","","","","SDC4","TTYH2","","","","","","","","","","","","","","","","","","","","","","",""
