X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
43,0,3.79141562,0.992,0.17,0,Neural cells,GPM6B
44,0,3.714704346,0.861,0.02,0,Keratinocytes,LY6D
45,0,3.689533189,0.755,0.091,0,Smooth muscle cells,ACTA2
46,0,3.667630816,0.956,0.102,0,Keratinocytes,AQP3
47,0,3.636729663,0.757,0.035,0,Immune cells,C15orf48
48,0,3.631244445,0.866,0.085,0,Keratinocytes,AREG
49,0,3.61401218,0.537,0.005,0,Neural cells,MPZ
50,0,3.613193163,0.953,0.041,0,Keratinocytes,S100A14
51,0,3.579800897,0.335,0.005,0,Sweat gland cells,AZGP1
52,0,3.579619468,0.683,0.179,0,Immune cells,G0S2
53,0,3.570360776,0.897,0.004,0,Neural cells,CDH19
54,0,3.547810829,0.88,0.014,0,Keratinocytes,LGALS7B
55,0,3.496366855,0.826,0.006,0,Melanocytes,S100A1
56,0,3.464040656,0.948,0.119,0,Fibroblasts,CTSK
57,0,3.431904273,0.366,0.005,0,Immune cells,CCL4L2
58,0,3.428608052,0.958,0.161,0,Vascular endothelial cells,AQP1
59,0,3.416950932,0.961,0.124,0,Lymphatic endothelial cells,MMRN1
60,0,3.340728224,0.637,0.045,0,Fibroblasts,WISP2
61,2.86e-226,3.315811536,0.978,0.191,6.76e-222,Melanocytes,QPCT
62,0,3.300284668,0.862,0.073,0,Keratinocytes,LYPD3
63,0,3.297009027,0.851,0.087,0,Neural cells,PLP1
64,0,3.289618047,0.967,0.116,0,Keratinocytes,DSP
65,0,3.265676468,0.938,0.015,0,Immune cells,TYROBP
66,0,3.219522131,0.356,0.017,0,Keratinocytes,KRT15
67,0,3.204304065,0.764,0.061,0,Vascular endothelial cells,C2CD4B
68,0,3.177454261,0.678,0.001,0,Neural cells,NRXN1
69,0,3.169039161,0.959,0.228,0,Fibroblasts,SERPINF1
70,0,3.165990903,0.706,0.008,0,Immune cells,BCL2A1
71,0,3.106784403,0.908,0.02,0,Immune cells,FCER1G
72,0,3.088633437,0.758,0.123,0,Lymphatic endothelial cells,FABP4
73,0,3.084458341,0.66,0.15,0,Immune cells,HLA-DQA2
74,0,3.058343449,0.339,0.014,0,Sweat gland cells,KRT19
75,0,3.034254819,0.866,0.171,0,Fibroblasts,MMP2
76,0,3.030544257,0.962,0.186,0,Keratinocytes,TACSTD2
77,0,3.014505811,0.956,0.236,0,Fibroblasts,C1R
78,0,2.986946165,0.955,0.1,0,Melanocytes,NSG1
79,0,2.9817189,0.963,0.21,0,Fibroblasts,PCOLCE
80,0,2.977289864,0.912,0.008,0,Immune cells,AIF1
81,0,2.97207204,0.402,0.006,0,Immune cells,C1QA
82,0,2.959709386,0.561,0.029,0,Keratinocytes,KRT17
83,0,2.924748185,0.978,0.088,0,Melanocytes,PLP1
84,0,2.89737236,0.904,0.004,0,Melanocytes,PCSK2
85,0,2.880988122,0.875,0.029,0,Vascular endothelial cells,PLVAP
86,3.82e-242,2.857330297,0.972,0.172,9.03e-238,Melanocytes,CYB561A3
87,0,2.83332108,0.608,0.007,0,Immune cells,FCER1A
88,0,2.815890466,0.879,0.065,0,Fibroblasts,MFAP4
89,0,2.805437488,0.843,0.009,0,Neural cells,MIA
90,0,2.805258205,0.794,0.03,0,Fibroblasts,DPT
91,0,2.789984686,0.956,0.172,0,Fibroblasts,C1S
92,0,2.784700197,0.858,0.062,0,Vascular endothelial cells,CLDN5
